Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 106.0.0.0,,,2022-10-19 14:29:53,2022-10-19 14:29:57,4.500s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 106.0.0.0,,,2022-10-19 14:29:57,2022-10-19 14:29:58,0.760s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John"")",Chrome 106.0.0.0,,,2022-10-19 14:29:58,2022-10-19 14:29:59,0.690s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 106.0.0.0,,,2022-10-19 14:29:59,2022-10-19 14:29:59,0.414s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 106.0.0.0,,,2022-10-19 14:29:59,2022-10-19 14:30:00,0.926s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""))",Chrome 106.0.0.0,,,2022-10-19 14:30:00,2022-10-19 14:30:01,0.357s,PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-19 14:30:01,2022-10-19 14:30:01,0.610s,PASSED
,,,,,,,
Test Cases/Negative/Login - With invalid Credential,Chrome 106.0.0.0,,,2022-10-19 14:30:01,2022-10-19 14:30:10,8.866s,PASSED
"openBrowser("""")",Chrome 106.0.0.0,,,2022-10-19 14:30:01,2022-10-19 14:30:02,1.089s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 106.0.0.0,,,2022-10-19 14:30:02,2022-10-19 14:30:06,3.457s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 106.0.0.0,,,2022-10-19 14:30:06,2022-10-19 14:30:07,0.742s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 106.0.0.0,,,2022-10-19 14:30:07,2022-10-19 14:30:07,0.702s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""abc123"")",Chrome 106.0.0.0,,,2022-10-19 14:30:07,2022-10-19 14:30:08,0.651s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 106.0.0.0,,,2022-10-19 14:30:08,2022-10-19 14:30:09,1.020s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""))",Chrome 106.0.0.0,,,2022-10-19 14:30:09,2022-10-19 14:30:09,0.335s,PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-19 14:30:09,2022-10-19 14:30:10,0.695s,PASSED
